# Inbreeding coefficients
# Orig ID	Renum ID	f_x
391	1	0.0
1127	2	0.0
1126	3	0.0
1124	4	0.0
300	5	0.0
299	6	0.0
221	7	0.0
220	8	0.0
218	9	0.0
219	10	0.0
216	11	0.0
215	12	0.0
210	13	0.25
203	14	0.25
223	15	0.0
202	16	0.0
111	17	0.15625
198	18	0.15625
225	19	0.0
226	20	0.0
224	21	0.25
298	22	0.0
301	23	0.0
297	24	0.25
217	25	0.25
204	26	0.0
121	27	0.140625
193	28	0.359375
222	29	0.0
66	30	0.18359375
296	31	0.0
295	32	0.25
211	33	0.0
209	34	0.1875
302	35	0.0
303	36	0.0
311	37	0.0
312	38	0.0
310	39	0.125
308	40	0.1875
309	41	0.1875
307	42	0.359375
314	43	0.1875
316	44	0.0
318	45	0.25
317	46	0.0
315	47	0.203125
313	48	0.24609375
323	49	0.25
322	50	0.25
321	51	0.25
208	52	0.0
205	53	0.15625
197	54	0.24560546875
201	55	0.15625
214	56	0.0
213	57	0.3125
306	58	0.27392578125
305	59	0.1181640625
212	60	0.40625
207	61	0.236328125
192	62	0.1162109375
196	63	0.231201171875
195	64	0.213562011719
206	65	0.263671875
156	66	0.326416015625
154	67	0.27392578125
304	68	0.200469970703
320	69	0.107421875
319	70	0.2919921875
262	71	0.169342041016
253	72	0.342220306396
157	73	0.236328125
103	74	0.379150390625
165	75	0.155944824219
67	76	0.379150390625
151	77	0.155944824219
64	78	0.155944824219
150	79	0.379150390625
114	80	0.332931518555
155	81	0.379150390625
149	82	0.155944824219
175	83	0.332931518555
325	84	0.0
84	85	0.123046875
326	86	0.2919921875
327	87	0.272796630859
324	88	0.379356384277
254	89	0.416851043701
251	90	0.31129026413
267	91	0.0
333	92	0.1875
334	93	0.203125
332	94	0.24609375
337	95	0.1640625
336	96	0.216796875
331	97	0.1826171875
338	98	0.306030273438
335	99	0.326873779297
330	100	0.218780517578
342	101	0.15625
344	102	0.0
346	103	0.0
345	104	0.125
200	105	0.1875
199	106	0.125
194	107	0.228515625
65	108	0.253601074219
63	109	0.229106903076
60	110	0.403539657593
283	111	0.229106903076
61	112	0.229106903076
54	113	0.409643173218
107	114	0.253601074219
328	115	0.213737487793
148	116	0.213737487793
113	117	0.254484176636
55	118	0.311455249786
190	119	0.213737487793
112	120	0.213737487793
110	121	0.2919921875
191	122	0.213737487793
62	123	0.31421661377
186	124	0.3685131073
263	125	0.3685131073
258	126	0.277551651001
257	127	0.370176434517
265	128	0.410749092698
250	129	0.410749092698
256	130	0.370176434517
261	131	0.330297976732
57	132	0.294986248016
88	133	0.294986248016
340	134	0.213737487793
129	135	0.357400894165
339	136	0.357400894165
329	137	0.240238428116
255	138	0.317959785461
252	139	0.293969154358
249	140	0.327847778797
248	141	0.449376609176
266	142	0.293969154358
264	143	0.163923889399
260	144	0.337643394247
259	145	0.391346499324
146	146	0.240238428116
176	147	0.357400894165
347	148	0.15625
343	149	0.19921875
120	150	0.279296875
274	151	0.1845703125
234	152	0.130859375
118	153	0.130859375
348	154	0.125
275	155	0.228515625
273	156	0.267150878906
122	157	0.228515625
119	158	0.213256835938
79	159	0.220001220703
350	160	0.1875
351	161	0.140625
349	162	0.134765625
353	163	0.1640625
102	164	0.154296875
98	165	0.137756347656
96	166	0.234660625458
352	167	0.216796875
276	168	0.21142578125
116	169	0.169403076172
163	170	0.268425941467
269	171	0.21199798584
184	172	0.268425941467
282	173	0.169403076172
280	174	0.21199798584
82	175	0.169403076172
166	176	0.169403076172
174	177	0.351501464844
189	178	0.268425941467
86	179	0.273513793945
160	180	0.313601493835
355	181	0.19921875
354	182	0.1171875
85	183	0.217468261719
77	184	0.243835449219
271	185	0.243835449219
356	186	0.31421661377
89	187	0.294986248016
59	188	0.3665599823
53	189	0.366938710213
50	190	0.458429545164
357	191	0.229106903076
87	192	0.294986248016
78	193	0.265025138855
74	194	0.191313743591
359	195	0.155944824219
105	196	0.279861450195
358	197	0.279861450195
127	198	0.339917182922
164	199	0.279861450195
361	200	0.203125
360	201	0.3515625
178	202	0.16748046875
179	203	0.421630859375
172	204	0.502685546875
363	205	0.306030273438
364	206	0.377563476562
362	207	0.377151489258
128	208	0.327856063843
125	209	0.286424279213
140	210	0.327856063843
367	211	0.359375
366	212	0.3046875
365	213	0.244140625
139	214	0.239818572998
136	215	0.246630430222
126	216	0.227882385254
124	217	0.244942188263
123	218	0.311727255583
117	219	0.220038533211
368	220	0.339917182922
284	221	0.305088043213
281	222	0.266056537628
278	223	0.244456410408
371	224	0.154296875
370	225	0.156799316406
106	226	0.234523773193
100	227	0.279314041138
177	228	0.279314041138
171	229	0.351252675056
169	230	0.218511879444
83	231	0.278253555298
76	232	0.265973567963
173	233	0.331423297524
170	234	0.289608180523
168	235	0.304660225287
104	236	0.279314041138
134	237	0.256103992462
242	238	0.314039587975
241	239	0.277545690536
133	240	0.26890707016
369	241	0.256103992462
292	242	0.308732628822
162	243	0.256103992462
244	244	0.26890707016
115	245	0.314039587975
56	246	0.265473604202
144	247	0.315519973636
143	248	0.329440377653
279	249	0.348379746079
277	250	0.282397419214
51	251	0.348379746079
58	252	0.265473604202
132	253	0.315519973636
52	254	0.282767102122
49	255	0.341458376497
48	256	0.312230428681
285	257	0.350442466326
99	258	0.256103992462
183	259	0.353388309479
185	260	0.280247479677
182	261	0.325278684497
181	262	0.280247479677
180	263	0.366432279348
97	264	0.353388309479
109	265	0.322791278362
108	266	0.286375988275
147	267	0.290878362954
286	268	0.266882778145
94	269	0.28232653439
373	270	0.154296875
374	271	0.1640625
378	272	0.1640625
377	273	0.166748046875
376	274	0.196655273438
375	275	0.237976074219
372	276	0.294769287109
293	277	0.240257263184
290	278	0.234880536795
289	279	0.250083621591
379	280	0.185546875
245	281	0.227676391602
380	282	0.19921875
246	283	0.214599609375
243	284	0.271416664124
240	285	0.222051903605
383	286	0.125
385	287	0.15625
384	288	0.19921875
382	289	0.2939453125
138	290	0.279296875
387	291	0.19921875
386	292	0.1767578125
381	293	0.245239257812
233	294	0.315185546875
229	295	0.237724304199
388	296	0.357400894165
80	297	0.351252675056
75	298	0.238245010376
73	299	0.274627871811
68	300	0.241449724883
71	301	0.26354543143
72	302	0.26354543143
288	303	0.248914954718
70	304	0.26354543143
232	306	0.238245010376
231	307	0.25139772892
389	308	0.28125
237	309	0.201171875
236	310	0.277435302734
390	311	0.1171875
137	312	0.223022460938
135	313	0.237060546875
131	314	0.190118312836
130	315	0.234306782484
161	316	0.18300151825
159	317	0.239640757442
158	318	0.249574519694
287	319	0.293170443503
227	320	0.277303216513
247	321	0.249574519694
239	322	0.274915097281
238	323	0.292991972528
235	324	0.18300151825
230	325	0.236298680305
228	326	0.246373167261
272	327	0.18300151825
270	328	0.202317118645
268	329	0.218298405409
145	330	0.18300151825
142	331	0.229180064052
141	332	0.295287920628
394	333	0.243835449219
393	334	0.248178482056
395	335	0.248178482056
396	336	0.248178482056
397	337	0.248178482056
398	338	0.248178482056
399	339	0.248178482056
400	340	0.248178482056
401	341	0.248178482056
402	342	0.312230428681
403	343	0.312230428681
404	344	0.312230428681
405	345	0.312230428681
406	346	0.312230428681
407	347	0.312230428681
408	348	0.248178482056
409	349	0.248178482056
410	350	0.248178482056
411	351	0.248178482056
412	352	0.248178482056
413	353	0.248178482056
416	354	0.218780517578
415	355	0.205574989319
414	356	0.233276963234
420	357	0.244140625
419	358	0.239818572998
418	359	0.218757152557
421	360	0.436120033264
422	362	0.286940395832
423	363	0.286940395832
424	364	0.286940395832
425	365	0.357400894165
426	366	0.285316586494
427	367	0.285316586494
429	368	0.0
430	369	0.277551651001
428	370	0.131726682186
431	371	0.342220306396
432	372	0.266056537628
434	373	0.21199798584
433	374	0.244456410408
1721	1649	0.22873886209
438	376	0.228805541992
437	377	0.234710693359
436	378	0.21349811554
439	379	0.232666015625
440	380	0.232666015625
441	381	0.232666015625
443	383	0.231811523438
445	385	0.231811523438
